id,transdate,description,amount,category,accountname,
1,7-Jul-06,,-95.4,Utilities,CAD CHECKING,
2,8-Jul-06,,-473.25,Utilities,CAD CHECKING,
3,9-Jul-06,,5494.74,Transfer,CAD CHECKING,
4,9-Jul-06,,1829.1,Mortgage & Rent,CAD CHECKING,
5,12-Jul-06,,-15.69,Utilities,CAD CHECKING,
6,21-Jul-06,,192,Gift Received,CAD CHECKING,
7,26-Jul-06,,1698.55,Transfer,CAD CHECKING,
8,30-Jul-06,,-39.15,Utilities,CAD CHECKING,
9,31-Jul-06,,-1008,Mortgage & Rent,CAD CHECKING,
10,4-Aug-06,,-700,Transfer,CAD CHECKING,
11,6-Aug-06,,-58.1,Utilities,CAD CHECKING,
12,11-Aug-06,,300.46,Taxes,CAD CHECKING,
13,17-Aug-06,,-149.76,Utilities,CAD CHECKING,
14,18-Aug-06,,-183.84,Utilities,CAD CHECKING,
15,18-Aug-06,,348,Gift Received,CAD CHECKING,
16,26-Aug-06,,3382.74,Transfer,CAD CHECKING,
17,30-Aug-06,,-2256,Mortgage & Rent,CAD CHECKING,
18,30-Aug-06,,-377,Mortgage & Rent,CAD CHECKING,
19,1-Sep-06,,653.86,Mortgage & Rent,CAD CHECKING,
20,2-Sep-06,,-16.58,Utilities,CAD CHECKING,
21,3-Sep-06,,-89.04,Utilities,CAD CHECKING,
22,7-Sep-06,,-80.6,Utilities,CAD CHECKING,
23,20-Sep-06,,444,Gift Received,CAD CHECKING,
24,26-Sep-06,,-28.57,Utilities,CAD CHECKING,
25,26-Sep-06,,-810,Transfer,CAD CHECKING,
26,2-Oct-06,,51.71,Taxes,CAD CHECKING,
27,3-Oct-06,,-960,Mortgage & Rent,CAD CHECKING,
28,3-Oct-06,,-174.72,Credit Card Payment,CAD CHECKING,
29,4-Oct-06,,-222.64,Utilities,CAD CHECKING,
30,8-Oct-06,,-69.4,Utilities,CAD CHECKING,
31,9-Oct-06,,-348,Credit Card Payment,CAD CHECKING,
32,20-Oct-06,,336,Gift Received,CAD CHECKING,
33,1-Nov-06,,242.83,Mortgage & Rent,CAD CHECKING,
34,1-Nov-06,,-532,Mortgage & Rent,CAD CHECKING,
35,6-Nov-06,,-78.19,Utilities,CAD CHECKING,
36,11-Nov-06,,-576.96,Credit Card Payment,CAD CHECKING,
37,15-Nov-06,,-24.52,Utilities,CAD CHECKING,
38,17-Nov-06,,234,Gift Received,CAD CHECKING,
39,21-Nov-06,,89.86,Mortgage & Rent,CAD CHECKING,
40,22-Nov-06,,633.8,Paycheck,CAD CHECKING,
41,22-Nov-06,,291.71,Mortgage & Rent,CAD CHECKING,
42,24-Nov-06,,98.8,Mortgage & Rent,CAD CHECKING,
43,26-Nov-06,,-485,Transfer,CAD CHECKING,
44,27-Nov-06,,-216,Travel,CAD CHECKING,
45,28-Nov-06,,-13.2,Utilities,CAD CHECKING,
46,1-Dec-06,,-376,Mortgage & Rent,CAD CHECKING,
47,4-Dec-06,,900,Mortgage & Rent,CAD CHECKING,
48,5-Dec-06,,-275.25,Utilities,CAD CHECKING,
49,6-Dec-06,,-82.76,Utilities,CAD CHECKING,
50,6-Dec-06,,2683.59,Mortgage & Rent,CAD CHECKING,
51,15-Dec-06,,-790,Transfer,CAD CHECKING,
52,17-Dec-06,,-2005.15,Education,CAD CHECKING,
53,20-Dec-06,,402,Gift Received,CAD CHECKING,
54,25-Dec-06,,-23.5,Utilities,CAD CHECKING,
55,1-Jan-07,,59.71,Taxes,CAD CHECKING,
56,2-Jan-07,,-536,Mortgage & Rent,CAD CHECKING,
57,4-Jan-07,,-490,Transfer,CAD CHECKING,
58,9-Jan-07,,-34,Travel,CAD CHECKING,
59,16-Jan-07,,3960.39,Transfer,CAD CHECKING,
60,16-Jan-07,,276.61,Mortgage & Rent,CAD CHECKING,
61,16-Jan-07,,-4.1,Misc Expenses,CAD CHECKING,
62,16-Jan-07,,-19.84,Groceries,CAD CHECKING,
63,19-Jan-07,,267,Gift Received,CAD CHECKING,
64,19-Jan-07,,-125,Health & Fitness,CAD CHECKING,
65,21-Jan-07,,-2.35,Fast Food,CAD CHECKING,
66,21-Jan-07,,-31.85,Gas & Fuel,CAD CHECKING,
67,21-Jan-07,,-6.65,Restaurants,CAD CHECKING,
68,21-Jan-07,,-92,Licenses,CAD CHECKING,
69,22-Jan-07,,-1189.17,Credit Card Payment,CAD CHECKING,
70,24-Jan-07,,-54.11,Groceries,CAD CHECKING,
71,25-Jan-07,,-10.1,Fast Food,CAD CHECKING,
72,27-Jan-07,,-11.72,Groceries,CAD CHECKING,
73,27-Jan-07,,-3.88,Entertainment,CAD CHECKING,
74,28-Jan-07,,-132.96,Utilities,CAD CHECKING,
75,28-Jan-07,,-5.23,Fast Food,CAD CHECKING,
76,28-Jan-07,,-58.3,Clothing,CAD CHECKING,
77,28-Jan-07,,-3.09,Fast Food,CAD CHECKING,
78,29-Jan-07,,-14.15,Fast Food,CAD CHECKING,
79,29-Jan-07,,-30.18,Groceries,CAD CHECKING,
80,29-Jan-07,,-800,Mortgage & Rent,CAD CHECKING,
81,30-Jan-07,,-18.98,Utilities,CAD CHECKING,
82,30-Jan-07,,-392,Mortgage & Rent,CAD CHECKING,
83,30-Jan-07,,-13.3,Entertainment,CAD CHECKING,
84,31-Jan-07,,-3,Education,CAD CHECKING,
85,3-Feb-07,,-3.42,Fast Food,CAD CHECKING,
86,3-Feb-07,,-24,Gas & Fuel,CAD CHECKING,
87,4-Feb-07,,-15.05,Alcohol & Bars,CAD CHECKING,
88,7-Feb-07,,-7.02,Coffee Shops,CAD CHECKING,
89,10-Feb-07,,-7.79,Restaurants,CAD CHECKING,
90,10-Feb-07,,-31,Hair,CAD CHECKING,
91,10-Feb-07,,-5.46,Fast Food,CAD CHECKING,
92,11-Feb-07,,-16.57,Restaurants,CAD CHECKING,
93,11-Feb-07,,596.91,Mortgage & Rent,CAD CHECKING,
94,13-Feb-07,,-2.65,Fast Food,CAD CHECKING,
95,15-Feb-07,,-17.45,Groceries,CAD CHECKING,
96,15-Feb-07,,-18.94,Restaurants,CAD CHECKING,
97,16-Feb-07,,-298,Credit Card Payment,CAD CHECKING,
98,18-Feb-07,,-3.34,Fast Food,CAD CHECKING,
99,19-Feb-07,,297,Gift Received,CAD CHECKING,
100,20-Feb-07,,-125.55,Groceries,CAD CHECKING,
101,21-Feb-07,,-67,Gas & Fuel,CAD CHECKING,
102,21-Feb-07,,-90.15,Electronics & Software,CAD CHECKING,
103,21-Feb-07,,-17.22,Fast Food,CAD CHECKING,
104,22-Feb-07,,-2.3,Fast Food,CAD CHECKING,
105,23-Feb-07,,-16.64,Gas & Fuel,CAD CHECKING,
106,2-Mar-07,,-5.39,Fast Food,CAD CHECKING,
107,2-Mar-07,,-364,Mortgage & Rent,CAD CHECKING,
108,3-Mar-07,,-401.41,Travel,CAD CHECKING,
109,3-Mar-07,,-3.71,Fast Food,CAD CHECKING,
110,5-Mar-07,,-4.6,Fast Food,CAD CHECKING,
111,5-Mar-07,,-3.94,Fast Food,CAD CHECKING,
112,6-Mar-07,,-113.62,Credit Card Payment,CAD CHECKING,
113,7-Mar-07,,-36.17,Utilities,CAD CHECKING,
114,8-Mar-07,,-5.58,Fast Food,CAD CHECKING,
115,10-Mar-07,,-9.18,Fast Food,CAD CHECKING,
116,11-Mar-07,,-15.9,Fast Food,CAD CHECKING,
117,11-Mar-07,,-6.62,Fast Food,CAD CHECKING,
118,12-Mar-07,,-3.5,Fast Food,CAD CHECKING,
119,13-Mar-07,,-24,Gas & Fuel,CAD CHECKING,
120,15-Mar-07,,-11.02,Entertainment,CAD CHECKING,
121,15-Mar-07,,-47.55,Clothing,CAD CHECKING,
122,17-Mar-07,,-23.7,Entertainment,CAD CHECKING,
123,18-Mar-07,,-29.3,Groceries,CAD CHECKING,
124,19-Mar-07,,255,Gift Received,CAD CHECKING,
125,19-Mar-07,,-6.47,Entertainment,CAD CHECKING,
126,19-Mar-07,,-49.13,Entertainment,CAD CHECKING,
127,20-Mar-07,,-18.49,Entertainment,CAD CHECKING,
128,22-Mar-07,,-10.3,Fast Food,CAD CHECKING,
129,22-Mar-07,,-38.12,Furnishings,CAD CHECKING,
130,22-Mar-07,,-20.5,Entertainment,CAD CHECKING,
131,23-Mar-07,,445.79,Mortgage & Rent,CAD CHECKING,
132,24-Mar-07,,-13.34,Groceries,CAD CHECKING,
133,24-Mar-07,,-7.52,Fast Food,CAD CHECKING,
134,25-Mar-07,,-37,Utilities,CAD CREDIT CARD,
135,26-Mar-07,,-53.1,Gas & Fuel,CAD CHECKING,
136,26-Mar-07,,-23.9,Restaurants,CAD CHECKING,
137,27-Mar-07,,-6.62,Fast Food,CAD CHECKING,
138,27-Mar-07,,-7.94,Fast Food,CAD CHECKING,
